iter	Passed	Remaining
1383	17777	46447
1384	17790	46434
1385	17802	46420
1386	17816	46411
1387	17830	46401
1388	17842	46384
1389	17855	46372
1390	17869	46362
1391	17882	46350
1392	17896	46340
1393	17910	46329
1394	17924	46321
1395	17937	46309
1396	17951	46299
1397	17962	46280
1398	17976	46269
1399	17986	46250
1400	17999	46237
1401	18010	46220
1402	18018	46195
1403	18027	46173
1404	18035	46147
1405	18042	46120
1406	18049	46093
1407	18057	46066
1408	18064	46039
1409	18071	46012
1410	18078	45985
1411	18086	45958
1412	18093	45931
1413	18100	45905
1414	18115	45897
1415	18129	45887
1416	18143	45877
1417	18157	45867
1418	18170	45854
1419	18183	45843
1420	18196	45831
1421	18209	45818
1422	18222	45806
1423	18236	45797
1424	18250	45785
1425	18264	45775
1426	18278	45766
1427	18291	45754
1428	18305	45744
1429	18319	45734
1430	18333	45724
1431	18346	45713
1432	18359	45699
1433	18372	45687
1434	18384	45671
1435	18395	45656
1436	18409	45645
1437	18422	45632
1438	18435	45620
1439	18448	45607
1440	18459	45592
1441	18472	45579
1442	18485	45567
1443	18498	45554
1444	18511	45541
1445	18525	45531
1446	18538	45519
1447	18550	45505
1448	18563	45493
1449	18576	45481
1450	18589	45468
1451	18603	45457
1452	18616	45446
1453	18629	45433
1454	18641	45418
1455	18654	45406
1456	18667	45394
1457	18680	45382
1458	18693	45370
1459	18705	45353
1460	18718	45342
1461	18730	45327
1462	18744	45316
1463	18757	45306
1464	18771	45294
1465	18785	45283
1466	18799	45273
1467	18812	45263
1468	18826	45252
1469	18840	45242
1470	18854	45233
1471	18867	45220
1472	18881	45209
1473	18894	45197
1474	18908	45187
1475	18922	45177
1476	18935	45166
1477	18947	45152
1478	18961	45141
1479	18973	45125
1480	18986	45114
1481	19000	45103
1482	19013	45091
1483	19027	45080
1484	19040	45069
1485	19054	45058
1486	19068	45047
1487	19081	45036
1488	19095	45025
1489	19109	45015
1490	19122	45003
1491	19135	44991
1492	19148	44978
1493	19158	44960
1494	19172	44949
1495	19185	44937
1496	19198	44925
1497	19212	44914
1498	19224	44899
1499	19236	44885
1500	19249	44872
1501	19262	44860
1502	19276	44849
1503	19290	44839
1504	19299	44819
1505	19313	44808
1506	19327	44797
1507	19340	44786
1508	19354	44775
1509	19366	44760
1510	19380	44750
1511	19392	44735
1512	19405	44724
1513	19418	44711
1514	19432	44701
1515	19446	44691
1516	19459	44679
1517	19473	44669
1518	19487	44657
1519	19500	44645
1520	19513	44633
1521	19527	44623
1522	19540	44611
1523	19553	44599
1524	19566	44586
1525	19580	44576
1526	19594	44564
1527	19607	44553
1528	19620	44540
1529	19633	44528
1530	19647	44517
1531	19661	44507
1532	19672	44491
1533	19685	44478
1534	19698	44465
1535	19711	44453
1536	19725	44442
1537	19737	44427
1538	19750	44416
1539	19762	44402
1540	19775	44388
1541	19789	44378
1542	19802	44366
1543	19817	44357
1544	19831	44347
1545	19844	44336
1546	19858	44324
1547	19871	44313
1548	19883	44298
1549	19897	44287
1550	19910	44275
1551	19924	44264
1552	19937	44252
1553	19951	44242
1554	19959	44219
1555	19973	44209
1556	19986	44197
1557	19999	44183
1558	20013	44173
1559	20027	44162
1560	20041	44152
1561	20054	44140
1562	20067	44127
1563	20079	44112
1564	20092	44100
1565	20106	44089
1566	20120	44079
1567	20133	44068
1568	20147	44057
1569	20159	44043
1570	20173	44031
1571	20186	44019
1572	20198	44006
1573	20211	43992
1574	20223	43977
1575	20236	43965
1576	20248	43951
1577	20261	43937
1578	20274	43926
1579	20288	43915
1580	20300	43902
1581	20314	43890
1582	20326	43876
1583	20339	43862
1584	20351	43848
1585	20365	43837
1586	20377	43824
1587	20391	43813
1588	20405	43802
1589	20416	43787
1590	20429	43774
1591	20443	43764
1592	20456	43751
1593	20469	43739
1594	20483	43728
1595	20497	43717
1596	20510	43704
1597	20523	43693
1598	20537	43682
1599	20551	43671
1600	20564	43659
1601	20577	43647
1602	20590	43635
1603	20604	43624
1604	20618	43614
1605	20632	43602
1606	20645	43590
1607	20658	43577
1608	20671	43566
1609	20685	43556
1610	20699	43545
1611	20713	43533
1612	20726	43522
1613	20739	43509
1614	20753	43498
1615	20766	43486
1616	20778	43472
1617	20789	43454
1618	20802	43442
1619	20815	43430
1620	20828	43417
1621	20843	43408
1622	20853	43389
1623	20864	43373
1624	20877	43361
1625	20891	43350
1626	20904	43337
1627	20914	43319
1628	20927	43306
1629	20938	43290
1630	20949	43273
1631	20960	43257
1632	20973	43244
1633	20986	43232
1634	21001	43222
1635	21014	43211
1636	21027	43199
1637	21041	43188
1638	21055	43177
1639	21069	43165
1640	21082	43154
1641	21096	43143
1642	21109	43130
1643	21122	43117
1644	21135	43105
1645	21149	43094
1646	21161	43080
1647	21173	43066
1648	21186	43054
1649	21200	43043
1650	21214	43033
1651	21228	43021
1652	21239	43006
1653	21253	42994
1654	21265	42981
1655	21278	42967
1656	21292	42956
1657	21305	42945
1658	21319	42935
1659	21333	42923
1660	21347	42913
1661	21360	42900
1662	21373	42888
1663	21386	42876
1664	21400	42864
1665	21413	42853
1666	21427	42842
1667	21441	42831
